IDX	開催日	曜日	開催	R	軸	相手	押さえ	ソース	メモ	的中	狙い	結果1着	結果2着	結果3着	人気1着	人気2着	人気3着
1	2023/1/5	木	中山	5	3	16,14,9	13,5,1,4,15	MASTERS	0	2: 〇	馬連	1	3	16	4	1	2
2	2023/1/5	木	中京	6	3	2,9,5	6,4,1	CHECKMATE	0	2: 〇	馬連	3	9	6	1	2	5
3	2023/1/5	木	中山	9	9	4,7,11,12	1,2,3,8	競馬大陸	0	2: 〇	馬連	9	11	3	1	2	5
4	2023/1/5	木	中山	10	10	7,11,12,13	2,3,4,5	競馬大陸	0	3: △	馬連	13	11	2	2	4	5
5	2023/1/5	木	中山	11	7	1,3,5,15	8,11,12,17	競馬大陸	0	3: △	馬連	3	2	5	1	7	2
6	2023/1/5	木	中京	9	3	2,4,7,12	5,8,13,14	競馬大陸	0	3: △	馬連	2	12	14	2	3	4
7	2023/1/5	木	中京	10	15	6,7,9,12	3,13,14,16	競馬大陸	0	2: 〇	馬連	15	3	1	1	9	10
8	2023/1/5	木	中京	11	2	3,5,10,13	1,4,6,7	競馬大陸	0	3: △	馬連	7	5	2	5	4	2
9	2023/1/5	木	中京	11	5	7,2,3,10,6,13,9	0	大魔神	0	2: 〇	馬連	7	5	2	5	4	2
10	2023/1/5	木	中山	11	1	7,15,14,3,6,12,8	0	大魔神	0	3: △	馬連	3	2	5	1	7	2
11	2023/1/5	木	中山	9	12,3,7	0	0	投網	0	3: △	ワイド	9	11	3	1	2	5
12	2023/1/5	木	中山	12	1,14,13	0	0	投網	0	2: 〇	ワイド	1	13	10	1	3	4
13	2023/1/5	木	中京	12	8	7,4,9	1,6,5,3	CHECKMATE	0	3: △	馬連	4	6	9	1	7	8
14	2023/1/5	木	中京	9	2	7,4,12	3,14,15,8	WORLD競馬	0	2: 〇	馬連	2	12	14	2	3	4
15	2023/1/5	木	中京	9	2	7,4,12	7,4,12,3,14,15,8	WORLD競馬	0	1: ◎	三連複	2	12	14	2	3	4
16	2023/1/5	木	中京	7	4	1,12	10,6,13,14,15,5	WORLD競馬	0	3: △	馬連	7	14	15	14	2	8
17	2023/1/5	木	中京	7	4	1,12,10,6,13,14,15,5	0	WORLD競馬	0	3: △	三連複	7	14	15	14	2	8
18	2023/1/7	土	中山	3	13	4,10,3	15,7,2,9,12	MASTERS	0	3: △	馬連	4	6	13	2	9	3
19	2023/1/7	土	中京	5	8	4,2,6	7,10,14,12	CHECKMATE	0	3: △	馬連	8	13	10	1	9	4
20	2023/1/7	土	中山	12	5	4,9	1,3,4,6,7,9	GLORIA	0	3: △	三連複	10	9	3	7	5	4
21	2023/1/7	土	中京	11	12	5,13	0	GLORIA	0	2: 〇	ワイド	10	12	5	2	1	6
22	2023/1/7	土	中山	11	2,3,4,10,12	0	0	J.H.A	0	3: △	三連複	1	4	3	2	6	1
23	2023/1/7	土	中山	9	5	4,8,10,12	3,6,15,16	競馬大陸	0	3: △	馬連	12	10	5	1	3	6
24	2023/1/7	土	中山	10	9	1,4,6,14	7,8,11,12	競馬大陸	0	3: △	馬連	12	1	11	9	6	3
25	2023/1/7	土	中山	11	12	1,2,3,10	4,5,7,8	競馬大陸	0	3: △	馬連	1	4	3	2	6	1
26	2023/1/7	土	中京	9	4	9,10,12,14	1,2,7,13	競馬大陸	0	3: △	馬連	10	14	13	7	2	4
27	2023/1/7	土	中京	10	6	7,9,10,13	2,3,5,11	競馬大陸	0	3: △	馬連	7	13	5	1	4	6
28	2023/1/7	土	中京	11	12	1,5,10	7,9,13	競馬大陸	0	2: 〇	馬連	10	12	5	2	1	6
